pk,cod,des,pr,lastupdate,DataFineVal
4538,405023052,NEGRAR,VR,2021-09-01 12:59:11,22/02/2019 00:00:00
4558,408033029,NIBBIANO,PC,2021-09-01 12:59:11,31/12/2017 00:00:00
4779,403012111,OSMATE,VA,2021-09-01 12:59:13,14/02/2019 00:00:00
4830,405026054,PADERNO DEL GRAPPA,TV,2021-09-01 12:59:13,29/01/2019 00:00:00
4968,401001182,PECCO,TO,2021-09-01 12:59:14,31/12/2018 00:00:00
4971,408033031,PECORARA,PC,2021-09-01 12:59:14,31/12/2017 00:00:00
4981,411041041,PEGLIO,PS,2021-09-01 12:59:14,31/12/1998 00:00:00
5009,409051028,PERGINE VALDARNO,AR,2021-09-01 12:59:14,31/12/2017 00:00:00
5011,411041043,PERGOLA,PS,2021-09-01 12:59:14,31/12/1998 00:00:00
5030,411041044,PESARO,PS,2021-09-01 12:59:15,31/12/1998 00:00:00
5061,411041045,PETRIANO,PS,2021-09-01 12:59:15,31/12/1998 00:00:00
5080,403019071,PIADENA,CR,2021-09-01 12:59:15,31/12/2018 00:00:00
5088,411041047,PIANDIMELETO,PS,2021-09-01 12:59:15,31/12/1998 00:00:00
5148,411041048,PIETRARUBBIA,PS,2021-09-01 12:59:16,31/12/1998 00:00:00
5160,403020040,PIEVE DI CORIANO,MN,2021-09-01 12:59:16,31/12/2017 00:00:00
5193,411041049,PIOBBICO,PS,2021-09-01 12:59:16,31/12/1998 00:00:00
5205,401006130,PIOVERA,AL,2021-09-01 12:59:16,31/12/2017 00:00:00
5360,413068033,POPOLI,PE,2021-09-01 12:59:17,12/07/2023 00:00:00
5375,408040031,PORTICO E SAN BENEDETTO,FO,2021-09-01 12:59:17,15/04/1992 00:00:00
5416,404022145,POZZA DI FASSA,TN,2021-09-01 12:59:18,31/12/2017 00:00:00
5468,408040032,PREDAPPIO,FO,2021-09-01 12:59:18,15/04/1992 00:00:00
5480,408040033,PREMILCUORE,FO,2021-09-01 12:59:18,15/04/1992 00:00:00
5488,416075062,PRESICCE,LE,2021-09-01 12:59:18,14/05/2019 00:00:00
5527,401096051,QUAREGNA,BI,2021-09-01 12:59:19,31/12/2018 00:00:00
5541,405025070,QUERO VAS,BL,2021-09-01 12:59:19,21/01/2024 00:00:00
5623,403020049,REVERE,MN,2021-09-01 12:59:20,31/12/2017 00:00:00
5626,404022152,REVO',TN,2021-09-01 12:59:20,31/12/2019 00:00:00
5656,401002111,RIMA SAN GIUSEPPE,VC,2021-09-01 12:59:20,31/12/2017 00:00:00
5657,401002112,RIMASCO,VC,2021-09-01 12:59:20,31/12/2017 00:00:00
5661,409049015,RIO MARINA,LI,2021-09-01 12:59:20,31/12/2017 00:00:00
5662,409049016,RIO NELL'ELBA,LI,2021-09-01 12:59:20,31/12/2017 00:00:00
5688,401002114,RIVA VALDOBBIA,VC,2021-09-01 12:59:20,31/12/2018 00:00:00
5711,408038020,RO FERRARESE,FE,2021-09-01 12:59:20,31/12/2018 00:00:00
5747,408040036,ROCCA SAN CASCIANO,FO,2021-09-01 12:59:21,15/04/1992 00:00:00
5835,404022154,ROMALLO,TN,2021-09-01 12:59:21,31/12/2019 00:00:00
5846,403013199,RONAGO,CO,2021-09-01 12:59:21,31/12/2023 00:00:00
5864,408040037,RONCOFREDDO,FO,2021-09-01 12:59:22,15/04/1992 00:00:00
5893,418078108,ROSSANO,CS,2021-09-01 12:59:22,30/03/2018 00:00:00
