Codice,Descrizione,Provincia,DataFineVal
405029503,BORSEA,RO,31/12/1983 00:00:00
404022514,BORZAGO,TN,31/12/1983 00:00:00
407010505,BORZOLI,GE,31/12/1983 00:00:00
403012517,BOSCO VALTRAVAGLIA,VA,31/12/1983 00:00:00
407008505,BOSCOMARE,IM,31/12/1983 00:00:00
404022023,BOSENTINO,TN,31/12/2015 00:00:00
403013671,BOSISIO PARINI,CO,05/03/1992 00:00:00
403019510,BOTTAIANO,CR,31/12/1983 00:00:00
403018505,BOTTARONE,PV,31/12/1983 00:00:00
403015522,BOTTEDO,MI,31/12/1983 00:00:00
403017510,BOTTICINO MATTINA,BS,31/12/1983 00:00:00
403017511,BOTTICINO SERA,BS,31/12/1983 00:00:00
405029504,BOTTRIGHE,RO,31/12/1983 00:00:00
401001509,BOUSSON,TO,31/12/1983 00:00:00
401001510,BOVILE,TO,31/12/1983 00:00:00
412058121,BOVILLE,RM,15/09/1995 00:00:00
403015030,BOVISIO-MASCIAGO,MI,29/06/2009 00:00:00
404022515,BOZZANA,TN,31/12/1983 00:00:00
403016510,BRACCA DI COSTA SERINA,BG,31/12/1983 00:00:00
403019511,BRANCERE,CR,31/12/1983 00:00:00
404022657,BRANCOLINO,TN,31/12/1983 00:00:00
403018506,BRANDUZZO,PV,31/12/1983 00:00:00
406031510,BRAZZANO,GO,31/12/1983 00:00:00
403013520,BRECCIA,CO,31/12/1983 00:00:00
403019512,BREDA GUAZZONE,CR,31/12/1983 00:00:00
403013521,BREGLIA,CO,31/12/1983 00:00:00
404022024,BREGUZZO,TN,31/12/2015 00:00:00
403016511,BREMBATE DI SOTTO,BG,31/12/1983 00:00:00
403016039,BREMBILLA,BG,03/02/2014 00:00:00
403015704,BREMBIO,MI,05/03/1992 00:00:00
403013522,BRENNO DELLA TORRE,CO,31/12/1983 00:00:00
403012518,BRENNO USERIA,VA,31/12/1983 00:00:00
405023504,BRENTINO,VR,31/12/1983 00:00:00
405023014,BRENZONE,VR,21/02/2014 00:00:00
405023505,BREONIO,VR,31/12/1983 00:00:00
406031511,BRESTOVIZZA IN VALLE,GO,31/12/1983 00:00:00
406031512,BRETTO,GO,15/09/1947 00:00:00
403013523,BRIANZOLA,CO,31/12/1983 00:00:00
418079509,BRIATICO,CZ,05/03/1992 00:00:00
403015523,BRIAVACCA,MI,31/12/1983 00:00:00
401004505,BRIGA MARITTIMA,CN,31/12/1983 00:00:00
401006502,BRIGNANO DEL CURONE,AL,31/12/1983 00:00:00
404022028,BRIONE,TN,31/12/2015 00:00:00
450501506,BRIONI MAGGIORE,PL,15/09/1947 00:00:00
403015033,BRIOSCO,MI,29/06/2009 00:00:00
401003519,BRISINO,NO,31/12/1983 00:00:00
403012519,BRISSAGO,VA,31/12/1983 00:00:00
403013672,BRIVIO,CO,05/03/1992 00:00:00
418079510,BROGNATURO,CZ,05/03/1992 00:00:00
403019513,BROLPASINO,CR,31/12/1983 00:00:00
401003520,BROVELLO,NO,31/12/1983 00:00:00
401003625,BROVELLO-CARPUGNINO,NO,29/04/1992 00:00:00
407009505,BROVIDA,SV,31/12/1983 00:00:00
409048501,BROZZI,FI,31/12/1983 00:00:00
403017512,BROZZO,BS,31/12/1983 00:00:00
403015034,BRUGHERIO,MI,29/06/2009 00:00:00
406030528,BRUGNERA,UD,29/02/1968 00:00:00
403016513,BRUNTINO,BG,30/06/1927 00:00:00
401006503,BRUSASCHETTO,AL,31/12/1983 00:00:00
401001511,BRUSASCO CAVAGNOLO,TO,31/12/1983 00:00:00
404022658,BRUSINO,TN,31/12/1983 00:00:00
401002534,BRUSNENGO,VC,05/03/1992 00:00:00
403015524,BRUSUGLIO,MI,31/12/1983 00:00:00
403015525,BRUZZANO DEI DUE BORGHI,MI,31/12/1983 00:00:00
403013524,BUCCINIGO,CO,31/12/1983 00:00:00
406032505,BUCUIE,TS,15/09/1947 00:00:00
406031513,BUDAGNE,GO,15/09/1947 00:00:00
406030529,BUDOIA,UD,29/02/1968 00:00:00
403013525,BUGGIOLO,CO,31/12/1983 00:00:00
403013526,BUGIALLO,CO,31/12/1983 00:00:00
401003522,BUGNATE,NO,31/12/1983 00:00:00
450501507,BUIE D'ISTRIA,PL,03/04/1977 00:00:00
403013673,BULCIAGO,CO,05/03/1992 00:00:00
403013527,BULGORELLO,CO,31/12/1983 00:00:00
403015037,BURAGO DI MOLGORA,MI,29/06/2009 00:00:00
403017513,BURAGO RIVIERA,BS,31/12/1983 00:00:00
405027501,BURANO,VE,18/02/1924 00:00:00
404021505,BURGUSIO,BZ,31/12/1983 00:00:00
420092528,BUSACHI,CA,15/07/1974 00:00:00
408035007,BUSANA,RE,31/12/2015 00:00:00
403015039,BUSNAGO,MI,17/12/2009 00:00:00
405029505,BUSO SARZANO,RO,31/12/1983 00:00:00
407008506,BUSSANA,IM,31/12/1983 00:00:00
401001512,BUSSOLINO GASSINESE,TO,31/12/1983 00:00:00
403015526,BUSTIGHERA,MI,31/12/1983 00:00:00
403018507,BUTTIRAGO,PV,31/12/1983 00:00:00
401003523,BUTTOGNO,NO,31/12/1983 00:00:00
403019514,CA' DE' BONAVOGLI,CR,31/12/1983 00:00:00
403019515,CA' DE' CAGGI,CR,31/12/1983 00:00:00
403019516,CA' DE' CORTI,CR,31/12/1983 00:00:00
403015529,CA' DE' MAZZI,MI,31/12/1983 00:00:00
403019517,CA' DE' QUINZANI,CR,31/12/1983 00:00:00
403019518,CA' DE' SFONDRATI,CR,31/12/1983 00:00:00
403019519,CA' DE' SORESINI,CR,31/12/1983 00:00:00
403019520,CA' DE' STAOLI,CR,31/12/1983 00:00:00
403019521,CA' DE' STEFANI,CR,31/12/1983 00:00:00
403018509,CA' DE' TEDIOLI,PV,31/12/1983 00:00:00
403015530,CA' DE' ZECCHI,MI,31/12/1983 00:00:00
403015527,CA' DEI BOLLI,MI,31/12/1983 00:00:00
403018508,CA' DELLA TERRA,PV,31/12/1983 00:00:00
403015528,CA' DELL'ACQUA,MI,31/12/1983 00:00:00
405023506,CA' DI DAVID,VR,31/12/1983 00:00:00
405029506,CA' EMO,RO,31/12/1983 00:00:00
406031518,CA' SANTO SPIRITO DELLA BAINSIZZA,GO,15/09/1947 00:00:00
420092529,CABRAS,CA,15/07/1974 00:00:00
418079511,CACCURI,CZ,05/03/1992 00:00:00
401003524,CADDO,NO,31/12/1983 00:00:00
403012520,CADEGLIANO,VA,31/12/1983 00:00:00
403012521,CADERO CON GRAGLIO,VA,31/12/1983 00:00:00
404022029,CADERZONE,TN,14/10/2008 00:00:00
403017515,CADIGNANO,BS,31/12/1983 00:00:00
404022516,CADINE,TN,31/12/1983 00:00:00
403013528,CAGLIANO,CO,31/12/1983 00:00:00
407009506,CAGNA,SV,31/12/1983 00:00:00
403012522,CAIDATE,VA,31/12/1983 00:00:00
403018510,CAIRO LOMELLINO,PV,31/12/1983 00:00:00
403015531,CAJELLO,MI,31/12/1983 00:00:00
403017516,CAJONVICO,BS,31/12/1983 00:00:00
406031514,CAL DI CANALE,GO,15/09/1947 00:00:00
401003626,CALASCA-CASTIGLIONE,NO,29/04/1992 00:00:00
419081003,CALATAFIMI,TP,19/09/1999 00:00:00
404022031,CALAVINO,TN,31/12/2015 00:00:00
403013674,CALCO,CO,05/03/1992 00:00:00
403016514,CALEPIO,BG,31/12/1983 00:00:00
401003525,CALICE OSSOLANO,NO,31/12/1983 00:00:00
403018511,CALIGNANO,PV,31/12/1983 00:00:00
403017517,CALINO,BS,31/12/1983 00:00:00
401002535,CALLABIANA,VC,05/03/1992 00:00:00
403015532,CALO',MI,31/12/1983 00:00:00
401003526,CALOGNA,NO,31/12/1983 00:00:00
403016515,CALOLZIO,BG,31/12/1983 00:00:00
403016590,CALOLZIOCORTE,BG,05/03/1992 00:00:00
419083502,CALVARUSO,ME,31/12/1983 00:00:00
415062502,CALVI SAN NAZZARO,BN,31/12/1983 00:00:00
407009507,CALVISIO,SV,31/12/1983 00:00:00
401001513,CAMAGNA DI TORINO,TO,31/12/1983 00:00:00
403015705,CAMAIRAGO,MI,05/03/1992 00:00:00
401002536,CAMANDONA,VC,05/03/1992 00:00:00
413066503,CAMARDA,AQ,31/12/1983 00:00:00
401002505,CAMASCO,VC,31/12/1983 00:00:00
401003627,CAMBIASCA,NO,29/04/1992 00:00:00
403018512,CAMBIO',PV,31/12/1983 00:00:00
401002537,CAMBURZANO,VC,05/03/1992 00:00:00
403013529,CAMERLATA,CO,31/12/1983 00:00:00
406031517,CAMIGNA,GO,15/09/1947 00:00:00
403017518,CAMIGNONE,BS,31/12/1983 00:00:00
404021506,CAMINATA IN TURES,BZ,31/12/1983 00:00:00
403013531,CAMNAGO FALOPPIA,CO,31/12/1983 00:00:00
403013530,CAMNAGO VOLTA,CO,31/12/1983 00:00:00
403012523,CAMPAGNANO VEDASCA,VA,31/12/1983 00:00:00
403015045,CAMPARADA,MI,29/06/2009 00:00:00
401003527,CAMPELLO MONTI,NO,31/12/1983 00:00:00
401002538,CAMPIGLIA CERVO,VC,05/03/1992 00:00:00
401096011,CAMPIGLIA CERVO,BI,31/12/2015 00:00:00
404022517,CAMPO,TN,31/12/1983 00:00:00
401001514,CAMPO CANAVESE,TO,31/12/1983 00:00:00
403018514,CAMPO RINALDO,PV,31/12/1983 00:00:00
407009508,CAMPOCHIESA,SV,31/12/1983 00:00:00
411044009,CAMPOFILONE,AP,11/07/2009 00:00:00
406030017,CAMPOLONGO AL TORRE,UD,31/12/2008 00:00:00
403015533,CAMPOLUNGO,MI,31/12/1983 00:00:00
403018513,CAMPOMORTO,PV,31/12/1983 00:00:00
406030501,CAMPOROSSO IN VALCANALE,UD,31/12/1983 00:00:00
403018515,CAMPOSPINOSO ALBAREDO,PV,31/12/1983 00:00:00
403017514,CAMPOVERDE,BS,31/12/1983 00:00:00
403014503,CAMPOVICO,SO,31/12/1983 00:00:00
404022659,CANALE,TN,31/12/1983 00:00:00
406031515,CANALE D'ISONZO,GO,15/09/1947 00:00:00
407008507,CANDEASCO,IM,31/12/1983 00:00:00
411041501,CANDELARA,PS,31/12/1983 00:00:00
401002539,CANDELO,VC,05/03/1992 00:00:00
407010506,CANEPA,GE,31/12/1983 00:00:00
406030530,CANEVA,UD,29/02/1968 00:00:00
404022518,CANEZZA,TN,31/12/1983 00:00:00
450501508,CANFANARO,PL,15/09/1947 00:00:00
401003628,CANNERO RIVIERA,NO,29/04/1992 00:00:00
416072501,CANNETO DI BARI,BA,31/12/1983 00:00:00
418080501,CANNITELLO,RC,31/12/1983 00:00:00
401003629,CANNOBIO,NO,29/04/1992 00:00:00
416072013,CANOSA DI PUGLIA,BA,26/07/2009 00:00:00
